[2025-06-04 23:31:00,434][sam.py][INFO] - use prompt 'points'
[2025-06-04 23:31:21,328][sam.py][INFO] - use prompt 'points'
[2025-06-04 23:31:21,328][sam.py][INFO] - No point for 'data/sample/small-vehicles.jpeg'
[2025-06-04 23:32:46,346][sam.py][INFO] - export boxes
[2025-06-04 23:32:46,352][sam.py][INFO] - save output
[2025-06-04 23:32:46,405][sam.py][INFO] - No point for 'data/sample/video_1_frame_0th.png'
[2025-06-04 23:34:31,219][sam.py][INFO] - use prompt 'points'
[2025-06-04 23:34:40,126][sam.py][INFO] - export boxes
[2025-06-04 23:34:40,129][sam.py][INFO] - save output
[2025-06-04 23:37:24,633][sam.py][INFO] - use prompt 'points'
[2025-06-04 23:37:36,667][sam.py][INFO] - export boxes
[2025-06-04 23:37:36,673][sam.py][INFO] - save output
[2025-06-04 23:37:46,211][sam.py][INFO] - export boxes
[2025-06-04 23:37:46,213][sam.py][INFO] - save output
[2025-06-04 23:37:56,377][sam.py][INFO] - export boxes
[2025-06-04 23:37:56,380][sam.py][INFO] - save output
[2025-06-04 23:37:56,626][sam.py][INFO] - No point for 'data/sample/video_3_frame_0th.png'
[2025-06-04 23:39:37,452][sam.py][INFO] - export boxes
[2025-06-04 23:39:37,459][sam.py][INFO] - save output
